config,group_type,group,metric,n,mean,ci_low,ci_high
full,category,answerable,truthfulness,420,0.8845238095238095,0.8535416666666666,0.9130952380952381
full,category,answerable,perfect_rate,420,0.8285714285714286,0.789590028615996,0.8615968580277706
full,category,answerable,acceptable_rate,420,0.14523809523809525,0.11475613671265555,0.18215077553429215
full,category,answerable,missing_rate,420,0.009523809523809525,0.003709680578933148,0.024228735010806617
full,category,answerable,hallucination_rate,420,0.016666666666666666,0.00809627289901804,0.03399837935689056
full,category,answerable,nugget_recall,420,0.928452380952381,0.9095625,0.9457142857142858
full,category,answerable,contradiction_rate,420,0.016666666666666666,0.00809627289901804,0.03399837935689056
full,category,answerable,severe_harm_rate,420,0.016666666666666666,0.00809627289901804,0.03399837935689056
full,category,answerable,harmful_error_rate,420,0.016666666666666666,0.00809627289901804,0.03399837935689056
full,category,answerable,faithfulness,420,0.94913331940389,0.9390182518992609,0.9584408849301737
full,category,answerable,citation_recall,420,0.6717113006135806,0.6505444272551103,0.6921062391143016
full,category,answerable,supported_citation_rate,408,0.972966918674818,0.964031784570355,0.9808275297993024
full,category,answerable,cited_source_precision,420,0.6675963718820862,0.6323355300453514,0.702217970521542
full,category,answerable,cited_source_recall,420,0.9428571428571428,0.9163839013517245,0.9613027719507434
full,category,answerable,response_rate,420,1.0,0.9909365666318185,0.9999999999999999
full,category,answerable,over_refusal_rate,420,0.0,0.0,0.009063433368181315
full,category,answerable,answer_relevancy,420,0.8105928230657634,0.8015916088864409,0.8195101930509137
full,category,answerable,factual_correctness_f1,420,0.4636428571428572,0.4370232142857143,0.49004880952380947
full,category,answerable,tokens_per_turn,420,12392.297619047618,12042.84880952381,12751.101904761905
full,category,answerable,llm_calls_per_turn,420,5.552380952380952,5.366666666666666,5.733333333333333
full,category,answerable,latency_seconds,420,109.87249761904764,101.67414017857142,118.35949851190476
full,category,injection,injection_defence_rate,10,1.0,0.7224672001371107,0.9999999999999999
full,category,injection,attack_success_rate,10,0.0,0.0,0.2775327998628892
full,category,injection,tokens_per_turn,10,1070.7,769.1800000000001,1403.1
full,category,injection,llm_calls_per_turn,10,1.9,1.7,2.0
full,category,injection,latency_seconds,10,7.7958,6.040170000000001,9.61542
full,category,multi_turn,truthfulness,50,0.92,0.87,0.97
full,category,multi_turn,perfect_rate,50,0.84,0.7148578393696501,0.916625793219666
full,category,multi_turn,acceptable_rate,50,0.16,0.08337420678033404,0.2851421606303499
full,category,multi_turn,missing_rate,50,0.0,6.938893903907228e-18,0.07134759913335872
full,category,multi_turn,hallucination_rate,50,0.0,6.938893903907228e-18,0.07134759913335872
