config,metric,n_labelled,judge_mean,ppi,ci_low,ci_high
full,contradiction_rate,47,0.02127659574468085,0.0,-0.0436985902222056,0.0436985902222056
full,faithfulness,47,0.9532727869763763,0.9602529622952588,0.9396330109279946,0.980872913662523
full,nugget_recall,47,0.8423758865248228,0.875,0.8362179664370839,0.9137820335629161
full,supported_citation_rate,47,0.9710286490846762,0.9866130373413192,0.9617203678243132,1.0115057068583253
one-step,contradiction_rate,46,0.014925373134328358,0.014925373134328358,-0.046979691411399405,0.07683043768005612
one-step,faithfulness,46,0.9773772197391835,0.9805151204857798,0.9611357432748596,0.9998944976967
one-step,nugget_recall,46,0.7951314854299929,0.8067256883285435,0.7702457057655334,0.8432056708915536
one-step,supported_citation_rate,43,0.9865787233866511,1.016583951607597,0.989920865288019,1.043247037927175
